Template,mcp-typescript,cli,csharp,go,javav2,mockserver,php,postman,pythonv2,ruby,typescriptv2,unity,terraform
mockServer (Experimental),:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:no_entry:
modelNamespaces (Experimental),:white_check_mark:,:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:
multipartFileContentType (Experimental),:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:,:no_entry:,:no_entry:
openEnums (Experimental),:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:
operationPolling (Experimental),:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:
operationTimeout (Experimental),:white_check_mark:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:heavy_minus_sign:,:no_entry:,:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:no_entry:
publicExports (Experimental),:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:
reactQueryHooks (Experimental),:no_entry:,:no_entry:,:heavy_minus_sign:,:heavy_minus_sign:,:heavy_minus_sign:,:heavy_minus_sign:,:heavy_minus_sign:,:heavy_minus_sign:,:heavy_minus_sign:,:heavy_minus_sign:,:white_check_mark:,:heavy_minus_sign:,:heavy_minus_sign:
transformJq (Experimental),:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:
uploadStreams (Experimental),:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:heavy_minus_sign:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:heavy_minus_sign:
urlBasedPagination (Experimental),:no_entry:,:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:heavy_minus_sign:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:
uuid (Experimental),:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:,:no_entry:,:no_entry:
